ORIGIN,FUNCTION_IN_ORIGIN,FUNCTION_AT_DESTINATION_1,FUNCTION_AT_DESTINATION_2,FUNCTION_AT_DESTINATION_3,Family,Subfamily,Activity description,Glycan_annotation,Substrate annotation taken from characterized enzyme description CAZy.org,dbCAN3_Substrate_curated,dbCAN3_Substrate_high_level,Agreement,Comments,,,,,,,,,,,,
Bacteria,Structural,PG,PG,PG,GH22,GH22,lysozyme type C (EC 3.2.1.17); lysozyme type i (EC 3.2.1.17); α-lactalbumin,peptidoglycan,yes,peptidoglycan,peptidoglycan,Largely agree,,,,,,,,,,,,,
"Animal,Bacteria,Fungi",Structural,"DF,PG","NSP,PG","Chitin,PG",GH23,GH23,lysozyme type G (EC 3.2.1.17); peptidoglycan lyase (EC 4.2.2.n1) also known in the literature as peptidoglycan lytic transglycosylase; chitinase (EC 3.2.1.14),"chitin,peptidoglycan",yes,"chitin,peptidoglycan","chitin,peptidoglycan","Agree, in favor of dbCAN with minor edit (see comments)","based on reported function, chitin needed to be included",,,,,,,,,,,,
Bacteria,Structural,PG,PG,PG,GH24,GH24,lysozyme (EC 3.2.1.17),peptidoglycan,yes,peptidoglycan,peptidoglycan,Largely agree,,,,,,,,,,,,,
Bacteria,Structural,PG,PG,PG,GH25,GH25,lysozyme (EC 3.2.1.17),peptidoglycan,yes,peptidoglycan,peptidoglycan,Largely agree,,,,,,,,,,,,,
"Plant,Bacteria,Fungi","Structural,Structural_or_Storage,Storage",DF,NSP,"Hemicellulose,Mannans_and_Heteromannans",GH26,GH26,"β-mannanase (EC 3.2.1.78); exo-β-1,4-mannobiohydrolase (EC 3.2.1.100); β-1,3-xylanase (EC 3.2.1.32); lichenase / endo-β-1,3-1,4-glucanase (EC 3.2.1.73); mannobiose-producing exo-β-mannanase (EC 3.2.1.-)","beta-glucan,glucomannan,galactomannan,xylan,beta-mannan,lichenin",yes,"beta-glucan,beta-mannan,beta-mannan (plant),beta(1,3)-xylan (algae)","beta-glucan,beta-mannan,xylan","Agree, in favor of our annotation with minor edit (see comments)","based on reported function, remove xyloglucan",,,,,,,,,,,,
"Algae,Plant,Bacteria,Animal",Structural,"DF,Mucin","NSP,Resistant_oligosaccharides","Gum,Alpha-Galactooligosacharides,Glycoprotein",GH27,GH27,α-galactosidase (EC 3.2.1.22); α-N-acetylgalactosaminidase (EC 3.2.1.49); isomalto-dextranase (EC 3.2.1.94); β-L-arabinopyranosidase (EC 3.2.1.88); galactan:galactan galactosyltransferase (EC 2.4.1.-),"galactan,arabinogalactan,GalNAc,dextrin,raffinose,mucin_glycan",yes,"alpha-galactoside, galactose oligosaccharides (plant), galactomannans (plant) and galactolipid (animal),arabinogalactan,human blood group A, mucin, host glycan,raffinose family oligosaccharide (plant),dextran and isomalto-oligosaccharides (bacteria)","alpha-galactan,arabinogalactan protein,host glycan,raffinose,starch","Agree, in favor of our annotation with minor edit (see comments)","based on reported function, add arabinogalactan and raffinose",,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,GH28,GH28,"polygalacturonase (EC 3.2.1.15); exo-polygalacturonase (EC 3.2.1.67); exo-polygalacturonosidase (EC 3.2.1.82); rhamnogalacturonase (EC 3.2.1.171); rhamnogalacturonan α-1,2-galacturonohydrolase (EC 3.2.1.173); xylogalacturonan hydrolase (EC 3.2.1.-)","homogalacturonan,rhamnogalacturonan",yes,"xylogalacturonan (pectin),galacturonan (pectin),rhamnogalacturonan (pectin),pectin (rhamnogalacturonan I)",pectin,Largely agree,,,,,,,,,,,,,
Animal,"Structural,Other","Mucin,Other",Resistant_oligosaccharides,Glycoprotein,GH29,GH29,"α-L-fucosidase (EC 3.2.1.51); α-1,3/1,4-L-fucosidase (EC 3.2.1.111); α-1,2-L-fucosidase (EC 3.2.1.63)","mucin_glycan,human_milk_glycan",yes,"human milk oligosaccharides, mucin, host glycan",host glycan,Largely agree,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae","Structural,Structural_or_Storage","DF,GAG","NSP,Resistant_oligosaccharides","Hemicellulose,Mannans_and_Heteromannans,Pectin,Glycoprotein",GH30,GH30,"endo-β-1,4-xylanase (EC 3.2.1.8); β-glucosidase (3.2.1.21); β-glucuronidase (EC 3.2.1.31); β-xylosidase (EC 3.2.1.37); β-fucosidase (EC 3.2.1.38); glucosylceramidase (EC 3.2.1.45); β-1,6-glucanase (EC 3.2.1.75); glucuronoarabinoxylan endo-β-1,4-xylanase (EC 3.2.1.136); endo-β-1,6-galactanase (EC:3.2.1.164); [reducing end] β-xylosidase (EC 3.2.1.-)","beta-glucan,galactan,xylan,arabinoxylan,beta-glucuronan",yes,"arabinogalactan proteins,beta-fucoside,beta-glucan,beta-1,6-glucan (fungal and algal cell wall),beta-glucuronoside,glucosylsphingosine, glucosylceramide (host glycans),xylan","arabinogalactan protein,beta-fucosides,beta-glucan,beta-glucuronan,host glycan,xylan","Agree, in favor of our annotation",based on reported function,,,,,,,,,,,,
"Fungi,Algae","Structural,Structural_or_Storage",DF,NSP,Unknown,GH30,GH30_1,"b-1,6-glucosidase (EC 3.2.1.-);b-glucosidase (EC 3.2.1.21);b-glucosylceramidase (EC 3.2.1.45)",beta-glucan,yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,"NSP,Resistant_oligosaccharides",Hemicellulose,GH30,GH30_2,"xylan 1,4-b-xylosidase (EC 3.2.1.37)","xylan,arabinoxylan",yes,,,,,,,,,,,,,,,,
"Fungi,Algae","Structural,Structural_or_Storage",DF,NSP,Unknown,GH30,GH30_3,"b-1,6-glucosidase (EC 3.2.1.-);endo-b-1,6-glucanase (EC 3.2.1.75)",beta-glucan,yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Hemicellulose,GH30,GH30_4,b-D-fucosidase (EC 3.2.1.38),arabinoxylan,yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,"NSP,Resistant_oligosaccharides","Gum,Pectin,Glycoprotein",GH30,GH30_5,"endo-b-1,6-galactanase (EC 3.2.1.164);galactan exo-1,6-b-galactobiohydrolase (non-reducing end) (EC 3.2.1.213)","galactan,arabinogalactan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi","Structural,Structural_or_Storage",DF,NSP,"Hemicellulose,Mannans_and_Heteromannans",GH30,GH30_6,b-glucosidase (EC 3.2.1.21),"beta-glucan,xyloglucan,glucomannan",yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,"NSP,Resistant_oligosaccharides",Hemicellulose,GH30,GH30_7,"xylanase cleaving 4-Me-GlcA or GlcA-substituted xylan (EC 3.2.1.-);[reducing end] b-xylosidase (EC 3.2.1.-);non-reducing end-specific xylobiohydrolase (EC 3.2.1.-);endo-b-1,4-xylanase (EC 3.2.1.8)","xylan,arabinoxylan",yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Hemicellulose,GH30,GH30_8,"glucuronoarabinoxylan-specific endo-b-1,4-xylanase (EC 3.2.1.136);endo-b-1,4-xylanase (EC 3.2.1.8)","xylan,arabinoxylan",yes,,,,,,,,,,,,,,,,
"Algae,Fungi,Bacteria",Structural,DF,NSP,Unknown,GH30,GH30_9,baicalin b-glucuronidase (EC 3.2.1.167).,beta-glucuronan,yes,,,,,,,,,,,,,,,,
"Plant,Fungi,Algae,Bacteria,Animal","Structural,Storage","DF,Mucin","NSP,Resistant_starch,Resistant_oligosaccharides","Mannans_and_Heteromannans,Hemicellulose,Amylose_and_Amylopectin,Gum,Alpha-Galactooligosacharides",GH31,GH31,"α-glucosidase (EC 3.2.1.20); α-galactosidase (EC 3.2.1.22); α-mannosidase (EC 3.2.1.24); α-1,3-glucosidase (EC 3.2.1.84); sucrase-isomaltase (EC 3.2.1.48) (EC 3.2.1.10); α-xylosidase (EC 3.2.1.177); α-glucan lyase (EC 4.2.2.13); isomaltosyltransferase (EC 2.4.1.387); oligosaccharide α-1,4-glucosyltransferase (EC 2.4.1.161); α-N-acetylgalactosaminidase (EC 3.2.1.49); sulfoquinovosidase (EC 3.2.1.199); α-6-glucosyltransferase (EC 2.4.1.24); α-3-isomaltosyltransferase / cycloalternan-forming enzyme (EC 2.4.1.387)","xyloglucan,galactomannan,starch,galactan,GalNAc,mucin_glycan,alpha-mannan,raffinose,melibiose,dextrin",yes,"alpha-galactoside,alpha-mannoside,human blood group A, mucin, host glycan,sulfoquinovoside (plant sulfolipid),glycogen and starch,starch,sucrose,xyloglucan (plant)","alpha-galactan,alpha-mannan,host glycan,polyphenol,starch,sucrose,xyloglucan","Agree, in favor of our annotation",based on reported function,,,,,,,,,,,,
Plant,Storage,DF,NSP,Fructan,GH32,GH32,"invertase (EC 3.2.1.26); endo-inulinase (EC 3.2.1.7); β-2,6-fructan 6-levanbiohydrolase (EC 3.2.1.64); endo-levanase (EC 3.2.1.65); exo-inulinase (EC 3.2.1.80); fructan β-(2,1)-fructosidase/1-exohydrolase (EC 3.2.1.153); fructan β-(2,6)-fructosidase/6-exohydrolase (EC 3.2.1.154); sucrose:sucrose 1-fructosyltransferase (EC 2.4.1.99); fructan:fructan 1-fructosyltransferase (EC 2.4.1.100); sucrose:fructan 6-fructosyltransferase (EC 2.4.1.10); fructan:fructan 6G-fructosyltransferase (EC 2.4.1.243); levan fructosyltransferase (EC 2.4.1.-); [retaining] sucrose:sucrose 6-fructosyltransferase (6-SST) (EC 2.4.1.-); cycloinulo-oligosaccharide fructanotransferase (EC 2.4.1.-)",fructan,yes,"levan (fructan),graminan- and levan-type fructans,fructan(inulin, levan and sucrose),fructan,inulin",fructan,Largely agree,,,,,,,,,,,,,
Animal,"Structural,Other","Mucin,Other",Resistant_oligosaccharides,Glycoprotein,GH33,GH33,sialidase or neuraminidase (EC 3.2.1.18); trans-sialidase (EC 2.4.1.-); anhydrosialidase (EC 4.2.2.15); Kdo hydrolase (EC 3.2.1.-); 2-keto-3-deoxynononic acid hydrolase / KDNase (EC 3.2.1.-),"mucin_glycan,human_milk_glycan,sialic_acid",yes,"pectin (rhamnogalacturonan II), lipopolysaccharides (bacteria),sialic acid,sialic acid (O-glycan, N-glycan, mucin, host glycan)","pectin,sialic acid","Agree, in favor of our annotation with minor edit (see comments)","based on reported function,addition of sialic acid",,,,,,,,,,,,
Animal,Structural,Mucin,Unknown,Glycoprotein,GH34,GH34,sialidase or neuraminidase (EC 3.2.1.18),"mucin_glycan,sialic_acid",yes,"sialic acid (O-glycan, N-glycan, mucin, host glycan)",sialic acid,Largely agree,,,,,,,,,,,,,
"Plant,Animal",Structural,"DF,Mucin",NSP,"Glycoprotein,Pectin",GH35,GH35,"β-galactosidase (EC 3.2.1.23); exo-β-glucosaminidase (EC 3.2.1.165); exo-β-1,4-galactanase (EC 3.2.1.-); β-1,3-galactosidase (EC 3.2.1.-)","galactan,mucin_glycan,arabinogalactan",yes,"galactan and arabinogalactan,chitosan, chitin,beta-galactoside (pectin)","beta-galactan,chitin,pectin","Agree, in favor of our annotation",based on reported function,,,,,,,,,,,,
"Plant,Animal",Structural,"DF,Mucin","NSP,Resistant_oligosaccharides","Glycoprotein,Gum,Alpha-Galactooligosacharides",GH36,GH36,α-galactosidase (EC 3.2.1.22); α-N-acetylgalactosaminidase (EC 3.2.1.49); stachyose synthase (EC 2.4.1.67); raffinose synthase (EC 2.4.1.82),"galactan,GalNAc,raffinose,melibiose,galactomannan,mucin_glycan",yes,"alpha-galactoside (galactose oligosaccharides, galactomannans and galactolipid),acetylgalactosamine (human blood group A and b, mucin glycoproteins),raffinose/stachyose oligosaccharides (plant seeds),raffinose oligosaccharides","alpha-galactan,host glycan,raffinose",Largely agree,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,Resistant_starch,Amylose_and_Amylopectin,GH37,GH37,"α,α-trehalase (EC 3.2.1.28).",starch,yes,alpha-trehalose,trehalose,"Agree, in favor of our annotation",based on reported function,,,,,,,,,,,,
Fungi,Structural,DF,NSP,Mannans_and_Heteromannans,GH38,GH38,"α-mannosidase (EC 3.2.1.24); mannosyl-oligosaccharide α-1,2-mannosidase (EC 3.2.1.113); mannosyl-oligosaccharide α-1,3-1,6-mannosidase (EC 3.2.1.114); mannosyl-oligosaccharide α-1,3-mannosidase (EC 3.2.1.-)",alpha-mannan,yes,"alpha-mannan (fungi),N-glycan, O-glycans, alpha-mannan (fungi),N-glycan","alpha-mannan,host glycan",Largely agree,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae","Structural,Structural_or_Storage",DF,"NSP,Resistant_oligosaccharides","Gum,Pectin,Glycoprotein,Hemicellulose,Cellulose,Mannans_and_Heteromannans",GH39,GH39,"α-L-iduronidase (EC 3.2.1.76); β-xylosidase (EC 3.2.1.37); α-L-arabinofuranosidase (EC 3.2.1.55); β-glucosidase (EC 3.2.1.21); β-galactosidase (EC 3.2.1.23); exo-β-1,4-glucanase / cellodextrinase (EC 3.2.1.74);","beta-glucan,xyloglucan,glucomannan,galactan,arabinan,arabinogalactan,xylan,arabinoxylan,cellulose",yes,"beta-galactoside,beta-glucoside (exopolysaccharide, cellubiose),beta-glucoside (cellubiose),glycosaminoglycans heparan sulfate and dermatan sulfate (host glycan),xylan,arabinoxylan (galacto-(alpha-1,2)-arabinosidase)","beta-galactan,beta-glucan,cellulose,host glycan,xylan","Agree, in favor of our annotation",based on reported function,,,,,,,,,,,,
"Plant,Algae,Bacteria,Animal","Structural,Other","DF,Mucin,Other","NSP,Resistant_oligosaccharides","Pectin,Gum,Glycoprotein",GH42,GH42,β-galactosidase (EC 3.2.1.23); α-L-arabinopyranosidase (EC 3.2.1.-),"galactan,arabinan,mucin_glycan,human_milk_glycan",yes,"paeonolide, ginsenoside, arabinoxylan, and arabinan,beta-1,6/1,3-galactoside (arabinogalactan)","arabinan,arabinogalactan protein","Agree, in favor of our annotation",based on reported function,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,"NSP,Resistant_oligosaccharides","Gum,Pectin,Glycoprotein,Hemicellulose",GH43,GH43,"β-xylosidase (EC 3.2.1.37); α-L-arabinofuranosidase (EC 3.2.1.55); xylanase (EC 3.2.1.8); α-1,2-L-arabinofuranosidase (EC 3.2.1.-); exo-α-1,5-L-arabinofuranosidase (EC 3.2.1.-); [inverting] exo-α-1,5-L-arabinanase (EC 3.2.1.-); β-1,3-xylosidase (EC 3.2.1.-); [inverting] exo-α-1,5-L-arabinanase (EC 3.2.1.-); [inverting] endo-α-1,5-L-arabinanase (EC 3.2.1.99); exo-β-1,3-galactanase (EC 3.2.1.145); β-D-galactofuranosidase (EC 3.2.1.146)","galactan,arabinan,arabinogalactan,xylan,arabinoxylan",yes,"arabinan, arabinoxylan,arabinan,beta-1,3-galactan, arabinogalactan,beta-galactofuranoside,beta-1,3-xylan (algae),xylan,arabinoxylan","arabinan,arabinogalactan protein,beta-galactan,xylan",Largely agree,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,NSP,"Gum,Pectin,Glycoprotein,Hemicellulose",GH43,GH43_1,"xylan 1,4-b-xylosidase (EC 3.2.1.37);a-L-arabinofuranosidase (EC 3.2.1.55)","arabinan,arabinogalactan,xylan,arabinoxylan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,NSP,"Gum,Pectin,Glycoprotein,Hemicellulose",GH43,GH43_2,a-L-arabinofuranosidase (EC 3.2.1.55),"arabinan,arabinogalactan,arabinoxylan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,"NSP,Resistant_oligosaccharides","Gum,Pectin,Glycoprotein",GH43,GH43_3,b-D-galactofuranosidase (EC 3.2.1.146),"galactan,arabinogalactan",yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,GH43,GH43_4,"[inverting] exo-a-1,5-L-arabinanase (EC 3.2.1.-);[inverting] endo-a-1,5-L-arabinanase (EC 3.2.1.99)",arabinan,yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,GH43,GH43_5,"[inverting] exo-a-1,5-L-arabinanase (EC 3.2.1.-);[inverting] endo-a-1,5-L-arabinanase (EC 3.2.1.99)",arabinan,yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,GH43,GH43_6,"[inverting] endo-a-1,5-L-arabinanase (EC 3.2.1.99)",arabinan,yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Hemicellulose,GH43,GH43_7,"endo-b-1,4-xylanase (EC 3.2.1.8)","xylan,arabinoxylan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,"NSP,Resistant_oligosaccharides","Gum,Pectin,Glycoprotein",GH43,GH43_8,b-D-galactofuranosidase (EC 3.2.1.146),"galactan,arabinogalactan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,NSP,"Gum,Pectin,Glycoprotein,Hemicellulose",GH43,GH43_9,a-L-arabinofuranosidase (EC 3.2.1.55),"arabinan,arabinogalactan,arabinoxylan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,NSP,"Gum,Pectin,Glycoprotein,Hemicellulose",GH43,GH43_10,"xylan 1,4-b-xylosidase (EC 3.2.1.37);a-L-arabinofuranosidase (EC 3.2.1.55)","arabinan,arabinogalactan,xylan,arabinoxylan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,NSP,"Gum,Pectin,Glycoprotein,Hemicellulose",GH43,GH43_11,"b-1,3-xylosidase (EC 3.2.1.-);xylan 1,4-b-xylosidase (EC 3.2.1.37);a-L-arabinofuranosidase (EC 3.2.1.55)","arabinan,arabinogalactan,xylan,arabinoxylan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,NSP,"Gum,Pectin,Glycoprotein,Hemicellulose",GH43,GH43_12,"xylan 1,4-b-xylosidase (EC 3.2.1.37);a-L-arabinofuranosidase (EC 3.2.1.55)","arabinan,arabinogalactan,xylan,arabinoxylan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,NSP,"Gum,Pectin,Glycoprotein,Hemicellulose",GH43,GH43_13,"NO KNOWN ACTIVITY; α-1,2-L-arabinofuranosidase (EC 3.2.1.-);α-1,3-L-arabinofuranosidase (EC 3.2.1.-);α-1,4-L-arabinofuranosidase (EC 3.2.1.-);Exo-1,4-β-xylosidase (EC 3.2.1.-);Exo-α-1,5-D-arabinofuranosidase (EC 3.2.1.-);Exo-α-1,5-L-arabinofuranosidase (EC 3.2.1.-);Exo-β-1,3-galactanase (EC 3.2.1.145);β-D-galactofuranosidase (EC 3.2.1.146);Xylan β-1,4-xylosidase (EC 3.2.1.37);α-L-arabinofuranosidase (EC 3.2.1.55);β-1,3-xylosidase (EC 3.2.1.72);Endo-β-1,4-xylanase (EC 3.2.1.8);[inverting] endo-α-1,5-L-arabinanase (EC 3.2.1.99)","galactan,arabinan,arabinogalactan,xylan,arabinoxylan",yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,"NSP,Resistant_oligosaccharides",Hemicellulose,GH43,GH43_14,"xylan 1,4-b-xylosidase (EC 3.2.1.37)","xylan,arabinoxylan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,NSP,"Gum,Pectin,Glycoprotein,Hemicellulose",GH43,GH43_15,"NO KNOWN ACTIVITY; α-1,2-L-arabinofuranosidase (EC 3.2.1.-);α-1,3-L-arabinofuranosidase (EC 3.2.1.-);α-1,4-L-arabinofuranosidase (EC 3.2.1.-);Exo-1,4-β-xylosidase (EC 3.2.1.-);Exo-α-1,5-D-arabinofuranosidase (EC 3.2.1.-);Exo-α-1,5-L-arabinofuranosidase (EC 3.2.1.-);Exo-β-1,3-galactanase (EC 3.2.1.145);β-D-galactofuranosidase (EC 3.2.1.146);Xylan β-1,4-xylosidase (EC 3.2.1.37);α-L-arabinofuranosidase (EC 3.2.1.55);β-1,3-xylosidase (EC 3.2.1.72);Endo-β-1,4-xylanase (EC 3.2.1.8);[inverting] endo-α-1,5-L-arabinanase (EC 3.2.1.99)","galactan,arabinan,arabinogalactan,xylan,arabinoxylan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,NSP,"Gum,Pectin,Glycoprotein,Hemicellulose",GH43,GH43_16,"a-L-arabinofuranosidase (EC 3.2.1.55);endo-b-1,4-xylanase (EC 3.2.1.8)","arabinan,arabinogalactan,xylan,arabinoxylan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,NSP,"Gum,Pectin,Glycoprotein,Hemicellulose",GH43,GH43_17,"a-L-arabinofuranosidase (EC 3.2.1.55);endo-b-1,4-xylanase (EC 3.2.1.8)","arabinan,arabinogalactan,xylan,arabinoxylan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,NSP,"Gum,Pectin,Glycoprotein,Hemicellulose",GH43,GH43_18,a-L-arabinofuranosidase (EC 3.2.1.55),"arabinan,arabinogalactan,arabinoxylan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,NSP,"Gum,Pectin,Glycoprotein,Hemicellulose",GH43,GH43_19,a-L-arabinofuranosidase (EC 3.2.1.55),"arabinan,arabinogalactan,arabinoxylan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,NSP,"Gum,Pectin,Glycoprotein,Hemicellulose",GH43,GH43_20,a-L-arabinofuranosidase (EC 3.2.1.55),"arabinan,arabinogalactan,arabinoxylan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,NSP,"Gum,Pectin,Glycoprotein,Hemicellulose",GH43,GH43_21,a-L-arabinofuranosidase (EC 3.2.1.55),"arabinan,arabinogalactan,arabinoxylan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,NSP,"Gum,Pectin,Glycoprotein,Hemicellulose",GH43,GH43_22,"a-1,3-L-arabinofuranosidase (EC 3.2.1.-);xylan 1,4-b-xylosidase (EC 3.2.1.37);a-L-arabinofuranosidase (EC 3.2.1.55);[inverting] endo-a-1,5-L-arabinanase (EC 3.2.1.99)","arabinan,arabinogalactan,xylan,arabinoxylan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,NSP,"Gum,Pectin,Glycoprotein,Hemicellulose",GH43,GH43_23,a-L-arabinofuranosidase (EC 3.2.1.55),"arabinan,arabinogalactan,arabinoxylan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,NSP,"Gum,Pectin,Glycoprotein",GH43,GH43_24,"exo-b-1,3-galactanase (EC 3.2.1.145)","galactan,arabinogalactan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,NSP,"Gum,Pectin,Glycoprotein,Hemicellulose",GH43,GH43_25,"NO KNOWN ACTIVITY; α-1,2-L-arabinofuranosidase (EC 3.2.1.-);α-1,3-L-arabinofuranosidase (EC 3.2.1.-);α-1,4-L-arabinofuranosidase (EC 3.2.1.-);Exo-1,4-β-xylosidase (EC 3.2.1.-);Exo-α-1,5-D-arabinofuranosidase (EC 3.2.1.-);Exo-α-1,5-L-arabinofuranosidase (EC 3.2.1.-);Exo-β-1,3-galactanase (EC 3.2.1.145);β-D-galactofuranosidase (EC 3.2.1.146);Xylan β-1,4-xylosidase (EC 3.2.1.37);α-L-arabinofuranosidase (EC 3.2.1.55);β-1,3-xylosidase (EC 3.2.1.72);Endo-β-1,4-xylanase (EC 3.2.1.8);[inverting] endo-α-1,5-L-arabinanase (EC 3.2.1.99)","galactan,arabinan,arabinogalactan,xylan,arabinoxylan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,NSP,"Gum,Pectin,Glycoprotein,Hemicellulose",GH43,GH43_26,"exo-a-1,5-L-arabinofuranosidase (EC 3.2.1.-);a-L-arabinofuranosidase (EC 3.2.1.55)","arabinan,arabinogalactan,arabinoxylan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,NSP,"Gum,Pectin,Glycoprotein,Hemicellulose",GH43,GH43_27,"xylan 1,4-b-xylosidase (EC 3.2.1.37);a-L-arabinofuranosidase (EC 3.2.1.55)","arabinan,arabinogalactan,xylan,arabinoxylan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,NSP,"Gum,Pectin,Glycoprotein,Hemicellulose",GH43,GH43_28,"NO KNOWN ACTIVITY; α-1,2-L-arabinofuranosidase (EC 3.2.1.-);α-1,3-L-arabinofuranosidase (EC 3.2.1.-);α-1,4-L-arabinofuranosidase (EC 3.2.1.-);Exo-1,4-β-xylosidase (EC 3.2.1.-);Exo-α-1,5-D-arabinofuranosidase (EC 3.2.1.-);Exo-α-1,5-L-arabinofuranosidase (EC 3.2.1.-);Exo-β-1,3-galactanase (EC 3.2.1.145);β-D-galactofuranosidase (EC 3.2.1.146);Xylan β-1,4-xylosidase (EC 3.2.1.37);α-L-arabinofuranosidase (EC 3.2.1.55);β-1,3-xylosidase (EC 3.2.1.72);Endo-β-1,4-xylanase (EC 3.2.1.8);[inverting] endo-α-1,5-L-arabinanase (EC 3.2.1.99)","galactan,arabinan,arabinogalactan,xylan,arabinoxylan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,NSP,"Gum,Pectin,Glycoprotein,Hemicellulose",GH43,GH43_29,"a-1,2-L-arabinofuranosidase (EC 3.2.1.-);xylan 1,4-b-xylosidase (EC 3.2.1.37);a-L-arabinofuranosidase (EC 3.2.1.55)","arabinan,arabinogalactan,xylan,arabinoxylan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,"NSP,Resistant_oligosaccharides","Gum,Pectin,Glycoprotein",GH43,GH43_30,b-D-galactofuranosidase (EC 3.2.1.146),"galactan,arabinogalactan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,"NSP,Resistant_oligosaccharides","Gum,Pectin,Glycoprotein",GH43,GH43_31,b-D-galactofuranosidase (EC 3.2.1.146),"galactan,arabinogalactan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,"NSP,Resistant_oligosaccharides","Gum,Pectin,Glycoprotein",GH43,GH43_32,b-D-galactofuranosidase (EC 3.2.1.146),"galactan,arabinogalactan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,NSP,"Gum,Pectin,Glycoprotein,Hemicellulose",GH43,GH43_33,a-L-arabinofuranosidase (EC 3.2.1.55),"arabinan,arabinogalactan,arabinoxylan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,"NSP,Resistant_oligosaccharides","Gum,Pectin,Glycoprotein,Hemicellulose",GH43,GH43_34,b-D-galactofuranosidase (EC 3.2.1.146);a-L-arabinofuranosidase (EC 3.2.1.55),"galactan,arabinan,arabinogalactan,arabinoxylan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,NSP,"Gum,Pectin,Glycoprotein,Hemicellulose",GH43,GH43_35,"xylan 1,4-b-xylosidase (EC 3.2.1.37);a-L-arabinofuranosidase (EC 3.2.1.55)","arabinan,arabinogalactan,xylan,arabinoxylan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,NSP,"Gum,Pectin,Glycoprotein,Hemicellulose",GH43,GH43_36,a-L-arabinofuranosidase (EC 3.2.1.55),"arabinan,arabinogalactan,arabinoxylan",yes,,,,,,,,,,,,,,,,
