ORIGIN,FUNCTION_IN_ORIGIN,FUNCTION_AT_DESTINATION_1,FUNCTION_AT_DESTINATION_2,FUNCTION_AT_DESTINATION_3,Family,Subfamily,Activity description,Glycan_annotation,Substrate annotation taken from characterized enzyme description CAZy.org,dbCAN3_Substrate_curated,dbCAN3_Substrate_high_level,Agreement,Comments,,,,,,,,,,,,
Animal,Other,"Mucin,Other",Resistant_oligosaccharides,Glycoprotein,CBM71,CBM71,lactose and LacNAc binding,"human_milk_glycan,mucin_glycan",yes,lactose and LacNAc,host glycan,Largely agree,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae",Structural,DF,NSP,"Hemicellulose,Cellulose,Mannans_and_Heteromannans",CBM72,CBM72,"cellulose binding; β-1,3/1,4-mixed linked glucan binding; xylan binding; β-mannan binding","beta-glucan,xylan,beta-mannan,cellulose",yes,"broad spectrum of polysaccharides including soluble and insoluble cellulose, beta-1,3/1,4-mixed linked glucans, xylan, and beta-mannan","beta-glucan, xylan, and beta-mannan",Largely agree,,,,,,,,,,,,,
"Animal,Fungi",Structural,DF,NSP,Chitin,CBM73,CBM73,chitin binding,chitin,yes,chitin,chitin,Largely agree,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,Resistant_starch,Amylose_and_Amylopectin,CBM74,CBM74,starch binding; α-glucan binding,starch,yes,starch,starch,Largely agree,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Hemicellulose,CBM75,CBM75,xyloglucan binding,xyloglucan,yes,xyloglucan,xyloglucan,Largely agree,,,,,,,,,,,,,
"Plant,Bacteria,Fungi","Structural,Structural_or_Storage",DF,NSP,"Hemicellulose,Mannans_and_Heteromannans",CBM76,CBM76,xyloglucan binding; glucomannan binding; β-glucan binding,"beta-glucan,xyloglucan,glucomannan",yes,"xyloglucan, glucomannan, and barley beta-glucan","xyloglucan, glucomannan, and  beta-glucan",Largely agree,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Pectin,CBM77,CBM77,pectin binding,"homogalacturonan,rhamnogalacturonan",yes,various,pectin,Largely agree,,,,,,,,,,,,,
"Plant,Bacteria,Fungi",Structural,DF,NSP,Hemicellulose,CBM78,CBM78,"β-1,4-glucan binding; xyloglucan binding","beta-glucan,xyloglucan",yes,"beta-1,4-glucans",beta-glucan,"Agree, in favor of our annotation",based on reported function,,,,,,,,,,,,
"Plant,Bacteria,Fungi",Structural,DF,NSP,Hemicellulose,CBM79,CBM79,β-glucan binding; xyloglucan binding,"beta-glucan,xyloglucan",yes,beta-glucans,beta-glucan,"Agree, in favor of our annotation",based on reported function,,,,,,,,,,,,
"Plant,Bacteria,Fungi","Structural,Structural_or_Storage",DF,NSP,"Hemicellulose,Mannans_and_Heteromannans",CBM80,CBM80,xyloglucan binding; glucomannan binding; galactomannan binding; β-glucan binding,"beta-glucan,xyloglucan,glucomannan,galactomannan",yes,"beta-glycans (xyloglucan, glucomannan, galactomannan, barley beta-glucan)","beta-glucan, beta-mannan",Largely agree,,,,,,,,,,,,,
"Plant,Bacteria,Fungi",Structural,DF,NSP,Hemicellulose,CBM81,CBM81,"β-1,3-1,4-mixed linked glucan binding; xyloglucan","beta-glucan,xyloglucan",yes,"beta-1,4-, beta-1,3,-glucans, xyloglucan, avicel and cellooligosaccharides",beta-glucan,Largely agree,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,Resistant_starch,Amylose_and_Amylopectin,CBM82,CBM82,starch binding; α-glucan binding,starch,yes,starch,starch,Largely agree,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,Resistant_starch,Amylose_and_Amylopectin,CBM83,CBM83,starch binding; α-glucan binding,starch,yes,starch,starch,Largely agree,,,,,,,,,,,,,
Bacteria,Unknown,DF,NSP,Gum,CBM84,CBM84,xanthan binding,xanthan,yes,xanthan,xanthan,Largely agree,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae","Structural,Structural_or_Storage",DF,NSP,"Hemicellulose,Cellulose,Mannans_and_Heteromannans",CBM85,CBM85,"cellulose binding; glucuronoxylan binding; β-1,3-1,4-mixed linked glucan binding; glucomannan binding","beta-glucan,glucomannan,xylan,cellulose",yes,"glycans (cellulose, glucuronoxylan, b-1,3-1,4-glucan and glucomannan)","cellulose, xylan, beta-glucan, beta-mannan","Agree, in favor of our annotation with minor edit (see comments)","based on reported function, replacement of arabinoxylan with xylan",,,,,,,,,,,,
Plant,Structural,DF,NSP,Hemicellulose,CBM86,CBM86,xylan binding,xylan,yes,xylan,xylan,Largely agree,,,,,,,,,,,,,
Fungi,Structural,Unknown,Unknown,Unknown,CBM87,CBM87,galactosaminogalactan binding,galactosaminogalactan,yes,galactosaminogalactan,galactosaminogalactan,Largely agree,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae,Animal","Structural,Structural_or_Storage",DF,"NSP,Resistant_oligosaccharides","Hemicellulose,Mannans_and_Heteromannans,Pectin,Gum,Glycoprotein",GH1,GH1,"β-glucosidase (EC 3.2.1.21); β-galactosidase (EC 3.2.1.23); β-mannosidase (EC 3.2.1.25); β-glucuronidase (EC 3.2.1.31); β-xylosidase (EC 3.2.1.37); β-D-fucosidase (EC 3.2.1.38); phlorizin hydrolase (EC 3.2.1.62); exo-β-1,4-glucanase (EC 3.2.1.74); 6-phospho-β-galactosidase (EC 3.2.1.85); 6-phospho-β-glucosidase (EC 3.2.1.86); strictosidine β-glucosidase (EC 3.2.1.105); lactase (EC 3.2.1.108); amygdalin β-glucosidase (EC 3.2.1.117); prunasin β-glucosidase (EC 3.2.1.118); vicianin hydrolase (EC 3.2.1.119); raucaffricine β-glucosidase (EC 3.2.1.125); thioglucosidase (EC 3.2.1.147); β-primeverosidase (EC 3.2.1.149); isoflavonoid 7-O-β-apiosyl-β-glucosidase (EC 3.2.1.161); ABA-specific β-glucosidase (EC 3.2.1.175); DIMBOA β-glucosidase (EC 3.2.1.182); β-glycosidase (EC 3.2.1.-); hydroxyisourate hydrolase (EC 3.-.-.-); β-rutinosidase /α-L-rhamnose-(1,6)-β-D-glucosidase (EC 3.2.1.-); protodioscin 26-O-Î²-D-glucosidase (EC 3.2.1.186)","beta-glucan,xyloglucan,glucomannan,galactomannan,galactan,xylan,arabinoxylan,beta-mannan,rhamnogalacturonan,beta-glucuronan",yes,"strictosidine (monoterpene indole alkaloids),Raucaffricine (glucoalkaloid),beta-fucosides,beta-galactoside,6-phospho-beta-galactoside,beta-glucan,beta-glucoside,6-phospho-beta-glucoside,beta-glucuronoside,beta-mannoside,lactose in milk, phlorizin (polyphenols) in fruit,rutin (polyphenol),amygdalin (cyanogenic glycosides),prunasin (cyanogenic glycosides),vicianin (cyanogenic glycosides),glucosinolates (sulfur-containing phytochemicals),beta--primeverosides (tea plant phytochemicals),Daidzin and genistin, Furcatin (polyphenol),abscisic acid (plant),DIMBOA glucoside (polyphenol),Furostanol (polyphenol),phlorizin (polyphenols) in fruit,5-Hydroxyisourate (uric acid),beta-glucoside, beta-xyloside","alkaloid,beta-fucosides,beta-galactan,beta-glucan,beta-glucuronan,beta-mannan,human milk polysaccharide,polyphenol,uric acid,xylan","Agree, in favor of our annotation",based on reported function,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae,Animal","Structural,Structural_or_Storage,Other","DF,Mucin,Other",NSP,"Gum,Pectin,Glycoprotein,Hemicellulose,Mannans_and_Heteromannans",GH2,GH2,β-galactosidase (EC 3.2.1.23) ; β-mannosidase (EC 3.2.1.25); β-glucuronidase (EC 3.2.1.31); α-L-arabinofuranosidase (EC 3.2.1.55); mannosylglycoprotein endo-β-mannosidase (EC 3.2.1.152); exo-β-glucosaminidase (EC 3.2.1.165); α-L-arabinopyranosidase (EC 3.2.1.-); β-galacturonidase (EC 3.2.1.-); β-xylosidase (EC 3.2.1.37); β-D-galactofuranosidase (EC 3.2.1.146); β-glucosidase (EC 3.2.1.21),"beta-glucan,xyloglucan,glucomannan,galactomannan,galactan,arabinan,arabinogalactan,xylan,arabinoxylan,beta-mannan,beta-glucuronan,mucin_glycan,human_milk_glycan",yes,"galactomannan (fungi),arabinan,beta-galactoside,beta-glucoside,beta-glucuronoside,beta-mannoside,chitosan or chitosan oligosaccharides (nonacetylated chitin),N-glycan (plant),pectin (rhamnogalacturonan II),beta-xyloside","alpha-mannan,arabinan,beta-galactan,beta-glucan,beta-glucuronan,beta-mannan,chitosan,host glycan,pectin,xylan","Agree, in favor of our annotation",based on reported function,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae,Animal","Structural,Structural_or_Storage,Storage","DF,GAG",NSP,"Gum,Pectin,Glycoprotein,Hemicellulose,Mannans_and_Heteromannans",GH3,GH3,"β-glucosidase (EC 3.2.1.21); xylan 1,4-β-xylosidase (EC 3.2.1.37); β-glucosylceramidase (EC 3.2.1.45); β-N-acetylhexosaminidase (EC 3.2.1.52); α-L-arabinofuranosidase (EC 3.2.1.55); glucan 1,4-β-glucosidase (EC 3.2.1.74); isoprimeverose-producing oligoxyloglucan hydrolase (EC 3.2.1.120); coniferin β-glucosidase (EC 3.2.1.126); exo-1,3-1,4-glucanase (EC 3.2.1.-); β-N-acetylglucosaminide phosphorylases (EC 2.4.1.-); β-1,2-glucosidase (EC 3.2.1.-); β-1,3-glucosidase (EC 3.2.1.-); xyloglucan-specific exo-β-1,4-glucanase / exo-xyloglucanase (EC 3.2.1.155); stevioside-β-1,2-glucosidase (EC 3.2.1.-); lichenase / endo-β-1,3-1,4-glucanase (EC 3.2.1.73); protodioscin 26-O-β-D-glucosidase (EC 3.2.1.186); β-glucuronidase (EC 3.2.1.31)","beta-glucan,xyloglucan,glucomannan,arabinan,arabinogalactan,xylan,arabinoxylan,beta-glucuronan,lichenin",yes,"arabinan, arabinoxylan,beta-1,3-1,4-glucan (laminarin, lichenin and cereal D-glucans),beta-1,2-glucan (bacteria),beta-1,3-glucan (laminarin, lichenin and cereal D-glucans),beta-glucan,cellodextrin (beta-1,3-glucan),chitin, peptidoglycan,glycosphingolipid (host glycan),peptidoglycan,coniferin (glucoside of coniferyl alcohol),protodioscin (plant steroidal saponin),xylan,xyloglucan (plant)","arabinan,beta-glucan,chitin,host glycan,peptidoglycan,polyphenol,xylan,xyloglucan","Agree, in favor of our annotation",based on reported function,,,,,,,,,,,,
"Plant,Fungi,Algae,Bacteria","Structural,Storage",DF,"NSP,Resistant_starch,Resistant_oligosaccharides","Mannans_and_Heteromannans,Amylose_and_Amylopectin,Pectin,Gum,Alpha-Galactooligosacharides",GH4,GH4,maltose-6-phosphate glucosidase (EC 3.2.1.122); α-glucosidase (EC 3.2.1.20); α-galactosidase (EC 3.2.1.22); 6-phospho-β-glucosidase (EC 3.2.1.86); α-glucuronidase (EC 3.2.1.139); α-galacturonase (EC 3.2.1.67); palatinase (EC 3.2.1.-),"galactomannan,starch,galactan,homogalacturonan,rhamnogalacturonan,alpha-glucuronan,raffinose,melibiose,dextrin",yes,"beta-glucoside (sinigrin, cellubiose),isomaltulose (palatinose, from honey and sugar cane),galacturonides (polygalacturonan of pectin),alpha-galactoside (raffinose family of oligosaccharides),maltose and other small maltooligosaccharides,sucrose and its isomeric disaccharides,alpha-glucuronide in glucuronoxylan","beta-glucan,palatinose,pectin,raffinose,starch,sucrose,xylan","Agree, in favor of our annotation with minor edit (see comments)","based on reported function, addition of raffinose",,,,,,,,,,,,
